strain	segment	accession	originating_lab	date	country
B/Ecuador/GSB-1171-1496/2023	HA	EPI_ISL_18933098	Instituto_Nacional_de_Investigacion_en_Salud_Publica_INSPI	2023-12-22	Ecuador
B/Ecuador/9768/2023	HA	EPI_ISL_16830670	INSPI	2023-01-09	Ecuador
B/Ecuador/4157/2023	HA	EPI_ISL_16830704	INSPI	2023-01-08	Ecuador
B/Ecuador/1135/2023	HA	EPI_ISL_16830713	INSPI	2023-01-09	Ecuador
B/Ecuador/140/2023	HA	EPI_ISL_16830681	INSPI	2023-01-07	Ecuador
B/Ecuador/5408/2023	HA	EPI_ISL_18991610	INSPI	2023-12-10	Ecuador
B/Ecuador/5450/2023	HA	EPI_ISL_18991613	INSPI	2023-12-20	Ecuador
B/Ecuador/5527/2024	HA	EPI_ISL_18991612	INSPI	2024-01-13	Ecuador
B/Peru/LIM-UPCH-4545/2024	HA	EPI_ISL_19413806	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-07-09	Peru
B/Peru/LIM-UPCH-4599/2024	HA	EPI_ISL_19413816	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-07-25	Peru
B/Peru/LIM-UPCH-4709/2024	HA	EPI_ISL_19463992	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-06	Peru
B/Peru/LIM-UPCH-4722/2024	HA	EPI_ISL_19614271	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-12	Peru
B/Peru/UPCH_3869/2023	HA	EPI_ISL_17735450	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-30	Peru
B/Peru/UPCH_3870/2023	HA	EPI_ISL_17735451	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-02-01	Peru
B/Peru/472/2023	HA	EPI_ISL_18092034	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-03-18	Peru
B/Peru/UPCH_3865/2023	HA	EPI_ISL_17735448	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-17	Peru
B/Peru/UPCH_3863/2023	HA	EPI_ISL_17735447	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-05	Peru
B/Peru/LIM-UPCH-4704/2024	HA	EPI_ISL_19463986	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-04	Peru
B/Peru/UPCH_3860/2023	HA	EPI_ISL_17735444	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-01-09	Peru
B/Peru/LIM-UPCH-4707/2024	HA	EPI_ISL_19463990	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-05	Peru
B/Peru/LIM-UPCH-4708/2024	HA	EPI_ISL_19463991	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-05	Peru
B/Peru/02888Aakpr/2024	HA	EPI_ISL_19284748	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-05-22	Peru
B/Peru/LIM-UPCH-4698/2024	HA	EPI_ISL_19463938	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-26	Peru
B/Peru/3886/2023	HA	EPI_ISL_18022713	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-01-18	Peru
B/Peru/02885Aahnc/2023	HA	EPI_ISL_18786098	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-20	Peru
B/Peru/02888Aakdn/2023	HA	EPI_ISL_18786097	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-02	Peru
B/Peru/LIM-UPCH-4700/2024	HA	EPI_ISL_19463960	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-28	Peru
B/Peru/LIM-UPCH-4701/2024	HA	EPI_ISL_19463961	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-29	Peru
B/Peru/7638/2023	HA	EPI_ISL_18022690	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-11	Peru
B/Peru/ARE-INS-092/2024	HA	EPI_ISL_19383060	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-05-23	Peru
B/Peru/LIM-UPCH-4703/2024	HA	EPI_ISL_19463966	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03	Peru
B/Peru/LIM-UPCH-4699/2024	HA	EPI_ISL_19463959	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-27	Peru
B/Peru/UPCH_3919/2023	HA	EPI_ISL_17765198	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-03-09	Peru
B/Peru/9066/2023	HA	EPI_ISL_18022728	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-03-28	Peru
B/Peru/2885/2023	HA	EPI_ISL_18786174	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-29	Peru
B/Peru/02885Aahlc/2023	HA	EPI_ISL_18786175	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-02	Peru
B/Peru/4054/2023	HA	EPI_ISL_18786172	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-31	Peru
B/Peru/1237/2023	HA	EPI_ISL_18786173	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-25	Peru
B/Peru/2017/2023	HA	EPI_ISL_18022775	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-22	Peru
B/Peru/01237Aaeev/2023	HA	EPI_ISL_18786171	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27	Peru
B/Peru/LIM-UPCH-4726/2024	HA	EPI_ISL_19614275	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-03	Peru
B/Peru/LIM-UPCH-4725/2024	HA	EPI_ISL_19614274	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-03	Peru
B/Peru/0727/2023	HA	EPI_ISL_18022522	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-03-30	Peru
B/Peru/LIM-UPCH-4724/2024	HA	EPI_ISL_19614273	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-23	Peru
B/Peru/LIM-UPCH-4723/2024	HA	EPI_ISL_19614272	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-16	Peru
B/Peru/LIM-UPCH-4730/2024	HA	EPI_ISL_19614278	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-14	Peru
B/Peru/LIM-UPCH-4728/2024	HA	EPI_ISL_19614277	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-01	Peru
B/Peru/LIM-UPCH-4727/2024	HA	EPI_ISL_19614276	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-10-07	Peru
B/Peru/1409/2023	HA	EPI_ISL_18022757	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-11	Peru
B/Peru/02888Aakdk/2023	HA	EPI_ISL_18786200	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-04	Peru
B/Peru/10185Aanzs/2023	HA	EPI_ISL_18786198	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-22	Peru
B/Peru/2645/2023	HA	EPI_ISL_18786196	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-08	Peru
B/Peru/01237Aaefb/2023	HA	EPI_ISL_18786194	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-06	Peru
B/Peru/02645Aaaek/2023	HA	EPI_ISL_18786192	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-08	Peru
B/Peru/2888/2023	HA	EPI_ISL_18786190	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-12	Peru
B/Peru/1292/2023	HA	EPI_ISL_18786188	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-03	Peru
B/Peru/02883Aalsw/2023	HA	EPI_ISL_18786186	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-15	Peru
B/Peru/6669/2023	HA	EPI_ISL_18022791	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-05-16	Peru
B/Peru/01237Aaefa/2023	HA	EPI_ISL_18786187	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-03	Peru
B/Peru/1293/2023	HA	EPI_ISL_18786184	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-02	Peru
B/Peru/2883/2023	HA	EPI_ISL_18786185	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-07	Peru
B/Peru/LIM-UPCH-4111/2024	HA	EPI_ISL_18911416	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-01-15	Peru
B/Peru/02883Aaltu/2023	HA	EPI_ISL_18786182	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-10-06	Peru
B/Peru/LIM-UPCH-4112/2023	HA	EPI_ISL_18911417	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2023-11-13	Peru
B/Peru/02883Aalsx/2023	HA	EPI_ISL_18786183	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-18	Peru
B/Peru/1232/2023	HA	EPI_ISL_18786180	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-18	Peru
B/Peru/0753/2023	HA	EPI_ISL_18786181	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-07-27	Peru
B/Peru/02885Aahkz/2023	HA	EPI_ISL_18786178	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-04	Peru
B/Peru/02885Aahng/2023	HA	EPI_ISL_18786179	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27	Peru
B/Peru/2831/2023	HA	EPI_ISL_18786176	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-08-01	Peru
B/Peru/01237Aaeew/2023	HA	EPI_ISL_18786177	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-09-27	Peru
B/Peru/4211/2023	HA	EPI_ISL_18022586	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-01-11	Peru
B/Peru/LIM-UPCH-4719/2024	HA	EPI_ISL_19614107	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-25	Peru
B/Peru/LIM-UPCH-4718/2024	HA	EPI_ISL_19614106	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-12	Peru
B/Peru/LIM-UPCH-4717/2024	HA	EPI_ISL_19614105	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-11	Peru
B/Peru/LIM-UPCH-4716/2024	HA	EPI_ISL_19614104	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-10	Peru
B/Peru/LIM-UPCH-4720/2024	HA	EPI_ISL_19614108	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-30	Peru
B/Peru/LIM-UPCH-4715/2024	HA	EPI_ISL_19614103	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-25	Peru
B/Peru/LIM-INS-119/2024	HA	EPI_ISL_19530390	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2024-01-04	Peru
B/Peru/LIM-UPCH-4682/2024	HA	EPI_ISL_19463928	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03	Peru
B/Peru/LIM-UPCH-4685/2024	HA	EPI_ISL_19463929	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-06	Peru
B/Peru/LIM-UPCH-4690/2024	HA	EPI_ISL_19463931	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-13	Peru
B/Peru/LIM-UPCH-4696/2024	HA	EPI_ISL_19463932	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-22	Peru
B/Peru/LIM-UPCH-4697/2024	HA	EPI_ISL_19463933	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-22	Peru
B/Peru/LIM-UPCH-4677/2024	HA	EPI_ISL_19463926	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-08-27	Peru
B/Peru/LIM-UPCH-4681/2024	HA	EPI_ISL_19463927	Instituto_de_Medicine_Tropical_Alexander_von_Humboldt_-_UPCH	2024-09-03	Peru
B/Peru/4317/2023	HA	EPI_ISL_18022604	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-21	Peru
B/Peru/GIHSN-HCL023164105501/2023	HA	EPI_ISL_18599152	Center_for_Veterinary_Diagnostics_-_Regional_Animal_Health_Office_No.6	2023-02-28	Peru
B/Peru/3472/2023	HA	EPI_ISL_18092013	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-16	Peru
B/Peru/2161/2023	HA	EPI_ISL_18022639	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-04-26	Peru
B/Peru/03472/2023	HA	EPI_ISL_18092010	Laboratorio_de_Referencia_Nacional_Virus_Respiratorios,_Instituto_Nacional_de_Salud	2023-02-10	Peru
